TSI NanoScan SMPS Model 3910
Mode,Single
Serial Number,3910131505
Last Calibrated,2016/01/11


File Index,1
Sample #,1
Date,2022/11/29
Time,16:13:14
Firmware Version,1.2
Particle Density (g/cm3),1.0300
Diameter Setting (nm),20,

Time Elapsed (s),Number (#/cm3),Status
8,17.7600,No errors
9,27.1200,No errors
10,23.2800,No errors
11,22.3200,No errors
12,18.4800,No errors
13,17.7600,No errors
14,24.9600,No errors
15,22.0800,No errors
16,24.9600,No errors
17,24.9600,No errors
18,27.6000,No errors
19,22.0800,No errors
20,16.3200,No errors
21,19.9200,No errors
22,22.8000,No errors
23,22.3200,No errors
24,16.8000,No errors
25,25.2000,No errors
26,22.5600,No errors
27,22.8000,No errors
28,22.3200,No errors
29,22.5600,No errors
30,24.2400,No errors
31,23.2800,No errors
32,22.0800,No errors
33,18.7200,No errors
34,21.6000,No errors
35,24.9600,No errors
36,28.3200,No errors
37,21.1200,No errors
38,17.7600,No errors
39,21.8400,No errors
40,22.8000,No errors
41,25.9200,No errors
42,22.0800,No errors
43,23.0400,No errors
44,23.5200,No errors
45,22.3200,No errors
46,20.8800,No errors
47,19.9200,No errors
48,20.4000,No errors
49,19.2000,No errors
50,22.0800,No errors
51,20.1600,No errors
52,24.2400,No errors
53,24.9600,No errors
54,23.5200,No errors
55,23.2800,No errors
56,20.8800,No errors
57,19.9200,No errors
58,22.5600,No errors
59,18.9600,No errors
60,22.0800,No errors


File Index,1
Sample #,14
Date,2022/11/29
Time,16:38:25
Firmware Version,1.2
Particle Density (g/cm3),1.0300
Diameter Setting (nm),140,

Time Elapsed (s),Number (#/cm3),Status
1,7.6800,No errors
2,10.0800,No errors
3,6.9600,No errors
4,8.8800,No errors
5,10.3200,No errors
6,9.1200,No errors
7,4.8000,No errors
8,6.4800,No errors
9,8.1600,No errors
10,9.3600,No errors
11,10.8000,No errors
12,6.4800,No errors
13,9.6000,No errors
14,9.6000,No errors
15,7.9200,No errors
16,11.0400,No errors
17,9.1200,No errors
18,10.0800,No errors
19,7.2000,No errors
20,8.1600,No errors
21,9.3600,No errors
22,8.4000,No errors
23,9.1200,No errors
24,9.8400,No errors
25,11.0400,No errors
26,7.4400,No errors
27,8.4000,No errors
28,7.2000,No errors
29,9.1200,No errors
30,9.1200,No errors
31,8.1600,No errors
32,8.4000,No errors
33,8.1600,No errors
34,6.2400,No errors
35,5.7600,No errors
36,8.6400,No errors
37,10.0800,No errors
38,10.5600,No errors
39,8.8800,No errors
40,8.1600,No errors
41,8.1600,No errors
42,9.8400,No errors
43,5.2800,No errors
44,9.8400,No errors
45,9.3600,No errors
46,9.1200,No errors
47,7.6800,No errors
48,11.0400,No errors
49,7.2000,No errors
50,7.4400,No errors
51,6.7200,No errors
52,7.6800,No errors
53,9.3600,No errors
54,9.6000,No errors
55,10.0800,No errors
56,10.0800,No errors
57,10.3200,No errors
58,9.8400,No errors
59,7.9200,No errors
60,7.4400,No errors


File Index,1
Sample #,15
Date,2022/11/29
Time,16:41:07
Firmware Version,1.2
Particle Density (g/cm3),1.0300
Diameter Setting (nm),160,

Time Elapsed (s),Number (#/cm3),Status
1,7.2000,No errors
2,8.6400,No errors
3,7.2000,No errors
4,8.8800,No errors
5,7.2000,No errors
6,7.6800,No errors
7,5.5200,No errors
8,8.4000,No errors
9,10.5600,No errors
10,6.2400,No errors
11,9.3600,No errors
12,8.1600,No errors
13,7.9200,No errors
14,8.4000,No errors
15,7.6800,No errors
16,5.5200,No errors
17,8.8800,No errors
18,7.2000,No errors
19,8.4000,No errors
20,8.8800,No errors
21,7.6800,No errors
22,7.2000,No errors
23,6.4800,No errors
24,5.2800,No errors
25,7.6800,No errors
26,7.6800,No errors
27,8.6400,No errors
28,8.6400,No errors
29,7.9200,No errors
30,8.8800,No errors
31,7.4400,No errors
32,9.6000,No errors
33,7.9200,No errors
34,8.6400,No errors
35,11.2800,No errors
36,9.6000,No errors
37,5.5200,No errors
38,8.8800,No errors
39,7.6800,No errors
40,7.4400,No errors
41,7.2000,No errors
42,6.4800,No errors
43,8.8800,No errors
44,7.9200,No errors
45,6.7200,No errors
46,7.2000,No errors
47,10.0800,No errors
48,8.6400,No errors
49,5.7600,No errors
50,5.5200,No errors
51,8.4000,No errors
52,6.7200,No errors
53,5.7600,No errors
54,4.3200,No errors
55,6.4800,No errors
56,6.9600,No errors
57,7.6800,No errors
58,6.7200,No errors
59,5.7600,No errors
60,7.9200,No errors


File Index,1
Sample #,16
Date,2022/11/29
Time,16:42:32
Firmware Version,1.2
Particle Density (g/cm3),1.0300
Diameter Setting (nm),160,

Time Elapsed (s),Number (#/cm3),Status
